name;calories;proteins;carbs;fat;calcium;iron;vitamin_c
Ravioli chinois à la vapeur à la crevette, cuit;172.0;5.5;23.2;5.5;31.0;0.57;0.0
Gratin de pâtes au jambon, préemballé;179.0;7.06;16.4;9.2;116.0;0.0;0.0
Lasagnes ou cannellonis aux légumes, préemballées, cuits;120.0;4.38;10.1;5.9;76.0;0.62;3.34
Pâtes à la carbonara (spaghetti, tagliatelles…), préemballées;161.0;5.91;14.2;8.7;36.1;0.45;0.82
Lasagnes ou cannellonis au poisson, préemballées;148.0;7.28;13.0;7.1;63.0;0.41;0.0
Pâtes fraîches farcies (ex : raviolis, tortellinis, ravioles du Dauphiné), au fromage, préemballées, cuites;226.0;10.0;26.8;8.3;0.0;0.0;0.0
Couscous de légumes, préemballé;108.0;4.32;16.4;2.25;0.0;0.0;0.0
Pâtes fraîches farcies (ex : raviolis, tortellinis), au fromage et aux légumes, préemballées, cuites;219.0;7.94;27.8;7.5;69.0;0.57;0.0
Pâtes fraîches farcies (ex : raviolis, tortellinis), au boeuf (ex : bolognaise), préemballées, crues;265.0;11.4;40.3;5.79;37.5;0.72;0.0
Pâtes fraîches farcies (ex : raviolis, tortellinis), au boeuf (ex : bolognaise), préemballées, cuites;174.0;6.94;25.1;4.65;29.0;0.78;0.0
Pâtes fraîches farcies (ex : raviolis, tortellinis, ravioles du Dauphiné), au fromage, préemballées, crues;268.0;11.3;37.3;7.69;141.0;1.0;0.0
Pâtes fraîches farcies (ex : raviolis, tortellinis), au fromage et aux légumes, préemballées, crues;262.0;9.98;41.4;5.69;0.0;0.0;0.0
Nouilles aux crevettes, préemballées, sautées/poêlées;104.0;4.88;12.6;3.4;22.0;0.5;0.0
Risotto, aux légumes, préemballé;120.0;2.88;18.4;3.8;0.0;0.0;0.0
Risotto, aux fruits de mer, préemballé;130.0;5.75;12.5;6.07;0.0;0.0;0.0
Risotto, aux fromages, préemballé;195.0;5.93;30.9;5.16;0.0;0.0;0.0
Ravioli aux légumes, à la sauce tomate, appertisés;91.1;2.88;13.5;2.45;15.0;1.1;0.0
Pâtes fraîches farcies (ex : raviolis, tortellinis), aux légumes, préemballées, cuites;156.0;5.19;20.9;4.9;50.0;0.51;0.0
Pâtes en sauce aux fromages (spaghetti, tagliatelles…), préemballées;163.0;7.17;15.9;7.4;0.0;0.0;0.0
Pâtes fraîches farcies (ex : raviolis, tortellinis), aux légumes, préemballées, crues;255.0;9.4;41.4;5.06;0.0;0.0;0.0
Pâtes fraîches farcies (ex : raviolis, tortellinis), cuites (aliment moyen);198.0;7.97;25.6;6.48;44.1;0.67;0.0
Feuille de vigne farcie au riz ou dolmas, égouttée, préemballée;150.0;2.63;18.6;6.5;70.0;1.1;0.0
Lasagnes ou cannellonis aux légumes et au fromage de chèvre, préemballés, cuits;179.0;7.0;14.0;10.2;32.0;0.18;0.67
Nouilles asiatiques instantanées, aromatisées, cuites;164.0;3.75;21.1;6.9;11.0;0.32;0.0
Lasagnes ou cannellonis au fromage et aux épinards, préemballés;133.0;6.1;11.4;6.6;0.0;0.0;0.0
Aligot (purée de pomme de terre à la tomme fraîche), préemballé;195.0;8.06;9.5;13.3;0.0;0.0;0.0
Fromage de chèvre pané à dorer, préemballé;0.0;12.7;15.0;19.2;100.0;0.27;0.0
Soufflé au fromage;185.0;10.9;4.75;13.4;226.0;0.6;1.0
Tartiflette (pommes de terre, reblochon, lardons…), préemballée;161.0;6.0;13.5;8.9;74.0;0.26;0.0
Gougère;399.0;16.2;22.7;26.6;302.0;1.34;0.0
Préparation à base de fromage(s) pour fondue savoyarde, préemballée;237.0;14.6;3.4;17.1;475.0;0.3;0.0
Fromage pané au jambon, préemballé;262.0;17.4;15.3;14.6;84.9;0.8;0.0
Galette ou pavé au soja;252.0;17.0;8.5;14.7;160.0;2.3;2.0
Bouchées ou émincé végétal au soja et blé (convient aux véganes ou végétaliens), préemballé;157.0;21.3;6.76;3.7;72.0;2.8;0.0
Bouchées ou émincé au soja et blé  (ne convient pas aux véganes ou végétaliens), préemballé;185.0;19.3;8.19;7.0;74.0;1.8;2.86
Nuggets ou croquette panée de blé (sans soja), préemballé;284.0;13.5;22.4;14.9;22.0;0.88;0.0
Nuggets ou croquette panée de soja et blé (ne convient pas aux véganes ou végétaliens), préemballé;253.0;14.1;18.5;12.6;55.0;1.7;4.36
Nuggets ou croquette panée de soja et blé (convient aux véganes ou végétaliens), préemballé;251.0;15.5;19.7;10.9;61.0;2.4;0.0
Pané soja et blé (ne convient pas aux véganes ou végétaliens);260.0;14.4;16.8;13.9;50.0;2.2;0.0
Bâtonnet pané soja et blé (convient aux véganes ou végétaliens), préemballée;245.0;16.9;18.8;10.0;70.0;2.5;0.0
Pané soja, blé et fromage, type cordon bleu, préemballé;247.0;15.2;15.1;13.1;170.0;1.3;0.0
Ravioli au tofu, à la sauce tomate, préemballés;91.7;3.13;12.5;2.7;28.0;0.68;0.0
Galette de céréales au fromage (sans soja), préemballée;241.0;7.0;27.8;10.3;93.0;1.1;0.0
Galette de céréales aux légumes (sans soja), préemballée;211.0;5.31;28.0;7.6;29.0;1.3;0.0
Boulette végétale au soja et/ou blé, préemballée;211.0;17.6;7.98;10.6;73.0;2.4;0.0
Galette ou pavé aux lentilles, soja et légumes, préemballé;170.0;10.6;16.7;5.6;69.0;1.9;0.0
Galette ou pavé au blé (seitan) et légumes, préemballé;208.0;13.4;20.8;7.1;42.0;1.2;0.0
Galette ou pavé au blé et soja (convient aux véganes ou végétaliens), préemballé;215.0;17.5;8.15;11.0;89.0;3.3;0.0
Galette ou pavé au blé et soja (ne convient pas aux véganes ou végétaliens), préemballé;201.0;11.1;13.3;10.2;72.0;2.2;0.0
Galette ou pavé au soja et fromage, préemballé;204.0;16.8;6.08;12.0;250.0;1.8;0.0
Galette ou pavé au soja et légumes, préemballé;175.0;14.4;8.36;8.1;99.0;2.1;0.0
Galette ou pavé au soja, fromage et légumes, préemballé;180.0;15.1;7.72;9.1;170.0;2.0;0.0
Haché végétal à base de soja, préemballé;143.0;12.6;7.01;5.8;67.0;2.2;0.0
Pizza au fromage ou pizza margherita, préemballée;224.0;8.7;29.6;7.41;239.0;1.2;5.5
Quiche lorraine, préemballée;269.0;8.39;21.5;16.4;116.0;0.63;0.71
Crêpe ou galette béchamel et jambon, préemballée;199.0;7.5;24.3;8.0;0.0;0.0;0.0
